round,sparsity,active_weights,zero_weights,validation_accuracy,test_accuracy
0,0.0,266200,0,,98.06
1,20.0,212960,53240,97.9,97.78
2,36.0,170368,95832,97.74,97.73
3,48.80015026296018,136294,129906,97.84,97.97
4,59.04019534184823,109035,157165,97.98,98.24
5,67.2321562734786,87228,178972,98.02,98.21
6,73.78587528174305,69782,196418,98.04,97.92
7,79.02892561983471,55825,210375,97.84,97.95
8,83.22314049586777,44660,221540,98.02,98.14
9,86.57851239669421,35728,230472,98.26,98.21
10,89.26296018031555,28582,237618,98.28,98.28
11,91.41059353869271,22865,243335,97.48,97.59
12,93.12847483095418,18292,247908,98.08,97.96
13,94.5030052592036,14633,251567,97.92,98.2
14,95.60255447032307,11706,254494,97.8,98.12
15,96.48234410217881,9364,256836,97.58,97.94
16,97.18595041322314,7491,258709,97.52,97.84
17,97.74906085649887,5992,260208,97.46,97.71
18,98.19947407963937,4793,261407,96.94,97.62
19,98.55972952667167,3834,262366,96.98,97.29
20,98.84785875281743,3067,263133,96.9,97.06
21,99.07851239669421,2453,263747,96.2,96.51
22,99.26296018031555,1962,264238,95.72,96.19
23,99.41059353869271,1569,264631,94.68,95.71
24,99.52854996243425,1255,264945,94.42,95.18
25,99.6228399699474,1004,265196,93.32,94.37
26,99.69834710743801,803,265397,92.88,93.85
27,99.7588279489106,642,265558,89.7,91.16
28,99.80728775356874,513,265687,89.44,90.84
29,99.84598046581517,410,265790,87.36,88.44
30,99.87678437265214,328,265872,84.3,85.93
